Restaurant Name,Cuisine,Price,Takeout,URL
Ami,Mediterranean,2,Yes,https://amijsf.com/menu
Antico Posto,Italian,2,Yes,https://www.antico-posto.com/menus/menu/
Bar Sienna,Pizza,1,Yes,https://www.barsiena.com/menu/dinner/
Baraby's,Pizza,1,Yes,https://www.barnabysofnorthbrook.com/menu.pdf
BluFish,Sushi,2,Yes,https://www.blufishsushi.com/our-menu/
Boston Fish Market,Fish,2,Yes,https://www.bostonfishmkt.com/menu/
Carmines,Italian,3,Yes,http://places.singleplatform.com/carmines-rosemont/menu
Chipotle,Mexican,1,Yes,https://www.chipotle.com/ 
Coopers Hawk,Fish,2,Yes,https://chwinery.com/menus
CPK,Pizza,1,Yes,https://www.cpk.com/menu
DiPescara,Fish,1,Yes,https://www.di-pescara.com/menus/all-day-dining-menu/
Disotto,Fish,2,Yes,https://www.disottoitalian.com/location/disotto/#menus
Disotto,Italian,2,Yes,https://www.disottoitalian.com/location/disotto/#menus
Disotto,Pizza,1,Yes,https://www.disottoitalian.com/location/disotto/#menus
Dominos,Pizza,1,Yes,https://www.dominos.com/en/pages/order/menu
Eataco,Mexican,1,Yes,https://www.eataconow.com/eat
Fat Rosies,Mexican,2,Yes,https://www.fatrosies.com/location/lincolnshire/
Fire thyme,American,1,Yes,https://www.firethyme.com/menus
Francesca's,Italian,2,Yes,https://www.miafrancesca.com/location/mia-francesca-northbrook/#dining-room-menu
Francescas,Fish,2,Yes,https://www.miafrancesca.com/location/mia-francesca-northbrook/#dining-room-menu
GeorgieVs,Breakfast,1,Yes,https://www.breakfastnorthbrook.com/menu
Greek Feast,Salads,1,Yes,https://thegreekfeast.com/northbrook-northshore-northbrook-greek-feast-food-menu
Greenwood,Fish,3,Yes,https://static1.squarespace.com/static/5a7dfcfc6f4ca32c2978e73c/t/66bfba41be8c1c70e819e863/1723841089402/082124+Menu.pdf
Grill House,Salads,1,Yes,https://www.eatgrillhouse.com/menu-new/
Happ Inn,American,1,Yes,https://thehappinn.com/img/Happ_Inn_Dinner_Menu_073024.pdf
